Restaurant,Review,Sentiment,Processed_Tokens,Processed_Text,SWN_Positive,SWN_Negative,SWN_Objective
13 Dhaba,half of the order was not delivered by the restaurant. and they didn't bother to pick the call for that,0,"['half', 'order', 'not', 'deliver', 'restaurant', 'didnt', 'bother', 'pick', 'call']",half order not deliver restaurant didnt bother pick call,0.009673659673659673,0.09425990675990677,0.8960664335664336
Paradise,"Very good hospitality,good ambiance and very good food ,v good facility of packing biriyani to long distances good place to visit mainly for Hyderabad biriyani",1,"['good', 'hospitalitygood', 'ambiance', 'good', 'food', 'v', 'good', 'facility', 'pack', 'biriyani', 'long', 'distance', 'good', 'place', 'visit', 'mainly', 'hyderabad', 'biriyani']",good hospitalitygood ambiance good food v good facility pack biriyani long distance good place visit mainly hyderabad biriyani,0.0609375,0.03364583333333333,0.9054166666666668
Shah Ghouse Hotel & Restaurant,Horrible biryani this is what we got when we ordered on Swiggy. It looks like you just want to make money selling biryani and left over pieces,0,"['horrible', 'biryani', 'get', 'ordered', 'swiggy', 'look', 'like', 'want', 'make', 'money', 'sell', 'biryani', 'leave', 'piece']",horrible biryani get ordered swiggy look like want make money sell biryani leave piece,0.02861238298738299,0.022883525204953778,0.9485040918076633
PourHouse7,"Lovely ambience on the roof top, exceptional service by dharmender, would recommend it to everyone seeing a place for saturday night party. Amzazing",1,"['lovely', 'ambience', 'roof', 'top', 'exceptional', 'service', 'dharmender', 'would', 'recommend', 'everyone', 'see', 'place', 'saturday', 'night', 'party', 'amzazing']",lovely ambience roof top exceptional service dharmender would recommend everyone see place saturday night party amzazing,0.028718677156177156,0.011636800699300696,0.9596445221445222
Shree Santosh Dhaba Family Restaurant,"Worst Taste, Late Delivery, Taste is Bad, Not Cooked Properly, I wont recommend this to any one, Zomoto guys you please look at this as we have Ordered through your Platform only",0,"['worst', 'taste', 'late', 'delivery', 'taste', 'bad', 'not', 'cook', 'properly', 'wont', 'recommend', 'one', 'zomoto', 'guy', 'please', 'look', 'ordered', 'platform']",worst taste late delivery taste bad not cook properly wont recommend one zomoto guy please look ordered platform,0.07657397641917764,0.060413004608051046,0.8630130189727714
Pista House,"If there could be an option of zero stars, I would definitely put it. It's a very bad experience ordering from pista house. The food is good, but service is very slow, pathetic and bad. The managers and people managing speak blatant lies over calls for a order on swiggy.
They constantly make the delivery guy wait with false words to both the customers and the delivery partner.
If running a hotel business is so difficult, maybe a change in management would help. Completely ruining the name and brand of pista house.",0,"['could', 'option', 'zero', 'star', 'would', 'definitely', 'put', 'bad', 'experience', 'order', 'pista', 'house', 'food', 'good', 'service', 'slow', 'pathetic', 'bad', 'manager', 'people', 'manage', 'speak', 'blatant', 'lie', 'call', 'order', 'swiggy', 'constantly', 'make', 'delivery', 'guy', 'wait', 'false', 'word', 'customer', 'delivery', 'partner', 'run', 'hotel', 'business', 'difficult', 'maybe', 'change', 'management', 'would', 'help', 'completely', 'ruin', 'name', 'brand', 'pista', 'house']",could option zero star would definitely put bad experience order pista house food good service slow pathetic bad manager people manage speak blatant lie call order swiggy constantly make delivery guy wait false word customer delivery partner run hotel business difficult maybe change management would help completely ruin name brand pista house,0.03733662408052651,0.021672238016532442,0.9409911379029413
Komatose - Holiday Inn Express & Suites,"I was there on Saturday night and they had a band performance as well. It was nice music, they were performing/playing Bollywood and sufi tracks. We seated outside because of band.Overall it is pocket friendly as well if you are a beer lover.",1,"['saturday', 'night', 'band', 'performance', 'well', 'nice', 'music', 'performingplaying', 'bollywood', 'sufi', 'track', 'seat', 'outside', 'bandoverall', 'pocket', 'friendly', 'well', 'beer', 'lover']",saturday night band performance well nice music performingplaying bollywood sufi track seat outside bandoverall pocket friendly well beer lover,0.05634231937091248,0.0252707053405434,0.918386975288544
The Foodie Monster Kitchen,"No maple syrup with pancakes and waffles.
If no maple syrup is to be included in your combo please specify it but serving pancakes and waffles without syrup or anything else is simply not acceptable. This is the second time this has happened.",0,"['no', 'maple', 'syrup', 'pancake', 'waffle', 'no', 'maple', 'syrup', 'include', 'combo', 'please', 'specify', 'serve', 'pancake', 'waffle', 'without', 'syrup', 'anything', 'else', 'simply', 'not', 'acceptable', 'second', 'time', 'happen']",no maple syrup pancake waffle no maple syrup include combo please specify serve pancake waffle without syrup anything else simply not acceptable second time happen,0.03205615199858621,0.04273690034380825,0.9252069476576056
Urban Asia - Kitchen & Bar,"This place is highly recommended. It is working with Eat India Company under the same roof, may be kitchen as well. Basically u ca order any of the two’s menu from one table. Eat India Company has Indian food while Urban Asia has asian food like chinese, thai food, etc.

We ordered The Real Bangkok Basa, Chef/Subba’s secret recipe noodles and Sanghai Fried Rice from Urban Asia.

The Real Bangkok Basa- It tastes so good. It was steamed Fish and mixed with some green sauce. Taste was 5/5 .

Subba’s secret recipe noodles was gravy noodles with lots of veggies, mushroom, chicken. Taste 5/5

Sanghai Fried Rice was a mixed of noodles and rice in which noodles was more than the rice. Taste was 5/5

Service 4/5, little bit slow in bringing food.

Ambiance 4/5",1,"['place', 'highly', 'recommend', 'work', 'eat', 'india', 'company', 'roof', 'may', 'kitchen', 'well', 'basically', 'u', 'ca', 'order', 'twos', 'menu', 'one', 'table', 'eat', 'india', 'company', 'indian', 'food', 'urban', 'asia', 'asian', 'food', 'like', 'chinese', 'thai', 'food', 'etc', 'order', 'real', 'bangkok', 'basa', 'chefsubbas', 'secret', 'recipe', 'noodle', 'sanghai', 'fry', 'rice', 'urban', 'asia', 'real', 'bangkok', 'basa', 'taste', 'good', 'steam', 'fish', 'mixed', 'green', 'sauce', 'taste', 'subbas', 'secret', 'recipe', 'noodle', 'gravy', 'noodle', 'lot', 'veggie', 'mushroom', 'chicken', 'taste', 'sanghai', 'fry', 'rice', 'mixed', 'noodle', 'rice', 'noodle', 'rice', 'taste', 'service', 'little', 'bit', 'slow', 'bringing', 'food', 'ambiance']",place highly recommend work eat india company roof may kitchen well basically u ca order twos menu one table eat india company indian food urban asia asian food like chinese thai food etc order real bangkok basa chefsubbas secret recipe noodle sanghai fry rice urban asia real bangkok basa taste good steam fish mixed green sauce taste subbas secret recipe noodle gravy noodle lot veggie mushroom chicken taste sanghai fry rice mixed noodle rice noodle rice taste service little bit slow bringing food ambiance,0.03514332724365618,0.019579174107134632,0.9452774986492093
Karachi Bakery,Too much cheese and also it smelled stale,0,"['much', 'cheese', 'also', 'smell', 'stale']",much cheese also smell stale,0.0225,0.06999999999999999,0.9075
